"Participant","Recruitment","Condition","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Reward","Gender","Age","Education","Discipline","Student","Ethnicity","Country","Experiment_Enjoyment","Experiment_Feedback","Accuracy_Respiratory_A","Accuracy_Gastric_Q8","Accuracy_ColonBladder_Q1","Accuracy_Respiratory_Q1","Accuracy_State_Q3","Accuracy_Genital_A","Accuracy_Cardiac_Q1","Accuracy_Gastric_Q2","Accuracy_ColonBladder_Q3","Accuracy_ColonBladder_Q5","Accuracy_Gastric_Q5","Accuracy_State_Q4","Accuracy_ColonBladder_Q2","Accuracy_Gastric_Q1","Accuracy_ColonBladder_Q4","Accuracy_Gastric_Q6","Accuracy_SkinThermo_Q2","Accuracy_SkinThermo_Q1","Accuracy_State_Q5","Accuracy_Cardiac_Q2","Accuracy_SkinThermo_Q3","Accuracy_Genital_Q2","Accuracy_Gastric_Q4","Accuracy_Genital_Q1","Accuracy_Gastric_Q7","Accuracy_Gastric_Q3","Accuracy_State_Q1","Accuracy_SkinThermo_Q4","Accuracy_State_Q2","Sexual_ColonBladder_Q2","Sexual_State_Q3","Sexual_State_Q5","Sexual_State_A","Sexual_State_Q4","Sexual_SkinThermo_Q3","Sexual_Genital_Q2","Sexual_Gastric_Q2","Sexual_Respiratory_Q1","Sexual_Cardiac_Q1","Sexual_SkinThermo_Q2","Sexual_State_Q1","Sexual_Gastric_Q1","Sexual_SkinThermo_Q1","Sexual_Genital_Q1","Sexual_ColonBladder_Q1","Sexual_State_Q2","Nociception_ColonBladder_Q1","Nociception_ColonBladder_Q2","Nociception_State_Q2","Nociception_SkinThermo_Q1","Nociception_Cardiac_Q1","Nociception_Respiratory_Q1","Nociception_Respiratory_Q2","Nociception_ColonBladder_A","Nociception_SkinThermo_Q2","Nociception_Gastric_Q1","Nociception_Genital_Q2","Nociception_Genital_Q1","Nociception_SkinThermo_Q3","Nociception_Cardiac_Q2","Nociception_State_Q1","Confusion_ColonBladder_A","Confusion_Gastric_Q1","Confusion_State_Q1","Confusion_Respiratory_Q1","Confusion_ColonBladder_Q1","Confusion_Gastric_Q2","Confusion_Genital_Q1","Confusion_Cardiac_Q1","Confusion_SkinThermo_Q1","Confusion_State_Q2","Anxious_Cardiac_Q1","Anxious_State_Q5","Anxious_Genital_Q1","Anxious_State_Q1","Anxious_ColonBladder_Q1","Anxious_State_Q4","Anxious_SkinThermo_A","Anxious_State_Q3","Anxious_SkinThermo_Q1","Anxious_SkinThermo_Q4","Anxious_SkinThermo_Q3","Anxious_State_Q2","Anxious_Respiratory_Q1","Anxious_Gastric_Q1","Anxious_SkinThermo_Q2","Sensitivity_State_Q1","Sensitivity_SkinThermo_Q6","Sensitivity_SkinThermo_Q1","Sensitivity_Gastric_A","Sensitivity_Respiratory_Q7","Sensitivity_Cardiac_Q6","Sensitivity_Respiratory_Q5","Sensitivity_State_Q3","Sensitivity_Respiratory_Q1","Sensitivity_Cardiac_Q4","Sensitivity_Cardiac_Q5","Sensitivity_Cardiac_Q7","Sensitivity_Genital_Q2","Sensitivity_Gastric_Q2","Sensitivity_ColonBladder_Q3","Sensitivity_Respiratory_Q6","Sensitivity_SkinThermo_Q3","Sensitivity_Cardiac_Q3","Sensitivity_Gastric_Q1","Sensitivity_Respiratory_Q3","Sensitivity_Cardiac_A","Sensitivity_Respiratory_Q4","Sensitivity_Gastric_Q4","Sensitivity_SkinThermo_Q7","Sensitivity_Gastric_Q5","Sensitivity_State_Q4","Sensitivity_Genital_Q3","Sensitivity_Gastric_Q3","Sensitivity_Genital_Q1","Sensitivity_Cardiac_Q1","Sensitivity_ColonBladder_Q1","Sensitivity_SkinThermo_Q8","Sensitivity_ColonBladder_Q4","Sensitivity_State_Q2","Sensitivity_SkinThermo_Q4","Sensitivity_Cardiac_Q2","Sensitivity_State_Q5","Sensitivity_SkinThermo_Q2","Sensitivity_SkinThermo_Q5","Sensitivity_Gastric_Q6","Sensitivity_Respiratory_Q2","Sensitivity_ColonBladder_Q2"
"S235","prolific","Dimensions","2024-11-19 19:05:04",10.5871666666667,"chrome 129.0.0","false","Mac OS",1470,832,"Automatic","Female",31,"Master","Biology, Chemistry, Physics",FALSE,"Mixed","Australia",4,NA,0,4,5,2,6,0,0,3,0,4,4,4,0,6,6,2,1,0,6,0,4,2,1,6,1,4,4,0,5,0,1,5,6,6,3,6,3,4,5,4,4,0,5,6,1,5,4,0,3,1,1,1,1,0,3,5,5,6,3,0,5,6,5,3,1,0,1,5,0,3,2,1,5,0,1,1,6,0,1,1,0,0,4,1,0,1,6,2,1,6,1,1,3,2,0,1,5,2,3,4,2,2,2,1,5,1,6,1,1,4,6,5,4,3,2,0,1,6,2,4,1,0,2,3,2,4,0,2
"S279","prolific","Random","2024-11-19 20:51:18",11.217,"edge-chromium 131.0.0","false","Windows 10",1528,738,"Automatic","Female",43,"Bachelor","Business, Economics",FALSE,"East Asian","United Kingdom",4,NA,0,6,3,1,2,0,1,1,0,5,1,2,0,1,2,4,0,2,2,1,4,0,6,3,0,1,1,6,2,0,2,5,6,6,1,6,1,4,4,1,3,0,5,5,0,2,4,0,3,4,1,0,1,0,6,3,4,6,1,0,2,6,4,3,0,0,3,1,3,6,3,3,3,0,2,4,6,0,3,3,1,5,2,6,4,6,4,4,4,6,1,3,1,4,1,1,5,3,2,1,5,3,3,2,2,1,6,1,3,4,6,6,2,1,5,1,4,6,4,6,5,1,3,4,0,2,1,4
"S153","prolific","Domains","2024-11-19 13:45:37",24.6866,"edge-chromium 130.0.0","false","Windows 10",1528,746,"Automatic","Male",46,"Master","Mathematics, Physics",FALSE,"White","United Kingdom",3,"Thank you",0,0,0,5,5,0,5,5,0,0,0,5,4,6,3,0,5,5,5,1,6,0,1,6,1,1,5,1,4,0,1,6,6,6,2,6,5,5,5,3,6,2,1,6,0,6,0,0,6,0,0,0,0,0,3,0,0,5,5,0,6,6,0,1,0,0,0,0,0,0,1,4,0,0,5,0,6,0,1,1,1,3,5,4,4,2,6,2,5,6,5,2,2,4,4,4,2,5,4,4,6,2,5,5,5,4,6,5,3,5,3,6,2,2,5,5,4,6,6,6,6,5,5,5,4,5,5,4
"S137","prolific","Dimensions","2024-11-19 12:47:11",19.19565,"firefox 132.0.0","false","Windows 10",1920,1047,"Automatic","Male",34,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,6,3,4,4,0,2,3,0,4,5,4,5,3,5,4,4,2,4,5,6,6,4,6,0,4,5,4,6,0,4,6,6,6,0,6,0,6,4,0,6,0,0,6,0,6,6,2,6,6,0,0,0,0,6,0,6,6,4,0,6,6,5,3,0,0,2,3,4,4,4,5,0,2,6,0,6,0,1,1,0,2,6,6,3,5,6,2,4,6,4,3,6,4,4,2,2,4,4,3,6,4,4,3,3,3,6,3,1,1,6,6,6,5,5,5,6,6,3,4,5,4,3,6,2,4,3,6
"S201","prolific","Dimensions","2024-11-19 16:19:27",13.20155,"edge-chromium 131.0.0","false","Windows 10",1912,954,"Automatic","Female",60,"High school",NA,FALSE,"White","United States",4,NA,0,1,0,5,3,0,5,2,0,0,1,4,0,6,0,5,5,1,3,3,5,0,0,3,1,1,5,0,5,0,5,3,6,5,2,3,2,3,4,4,3,1,4,3,0,3,0,0,6,4,0,1,1,0,4,0,0,1,5,0,6,6,2,0,1,0,2,0,0,1,0,3,1,0,6,0,6,0,3,4,2,2,3,4,2,5,6,3,4,6,3,1,5,6,5,2,5,0,0,5,6,6,4,5,4,4,6,1,1,6,0,6,0,5,0,4,2,3,6,6,6,1,3,4,5,4,1,2
"S093","prolific","Dimensions","2024-11-19 11:09:05",7.1655,"chrome 131.0.0","false","Windows 10",1280,551,"Automatic","Female",25,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,5,6,6,3,0,2,6,2,6,3,2,2,4,5,4,3,5,6,6,6,6,6,1,2,5,6,6,5,0,4,4,6,5,2,5,1,4,4,4,4,2,5,4,0,4,6,0,4,1,0,5,5,0,4,1,6,5,1,0,4,6,6,6,6,1,1,0,5,6,6,1,6,0,4,4,6,0,6,6,5,6,4,6,6,6,6,6,6,6,6,6,6,6,2,4,6,6,1,2,6,4,5,5,1,5,6,2,6,6,4,6,0,1,1,2,6,5,5,6,2,1,5,3,5,6,2,6
"S368","prolific","Random","2024-11-20 18:14:20",11.6268666666667,"chrome 131.0.0","false","Windows 10",1280,593,"Automatic","Male",44,"High school",NA,FALSE,"Mixed","United Kingdom",4,NA,0,1,2,4,6,0,4,3,0,3,0,5,3,6,3,3,5,3,5,1,6,5,6,6,0,0,5,6,6,1,1,5,6,6,0,6,0,6,3,2,5,3,4,6,3,5,4,0,6,6,0,1,0,0,6,1,6,6,6,0,4,6,4,6,3,3,4,6,3,2,4,6,3,6,3,4,6,0,0,5,4,6,4,4,5,6,4,2,6,6,3,0,0,2,4,0,3,3,6,4,5,3,4,3,4,4,6,4,6,6,1,6,4,3,6,5,6,6,1,5,6,5,4,5,2,6,4,6
"S218","prolific","Dimensions","2024-11-19 17:53:01",8.1842,"chrome 131.0.0","false","Linux",1206,608,"Automatic","Male",40,"High school",NA,TRUE,"White","United Kingdom",4,"This was interesting, I'd love to see more of your research!",0,4,4,5,6,0,4,5,1,2,1,5,1,6,1,1,5,6,5,0,6,1,1,6,0,1,6,5,6,2,5,5,6,6,1,6,4,2,4,4,6,0,3,6,0,6,3,0,6,3,0,1,0,0,4,4,6,6,5,0,5,6,4,0,0,0,0,3,0,3,1,4,0,0,5,2,6,0,5,4,0,1,5,0,4,4,6,2,2,6,0,2,0,5,1,3,4,3,5,5,0,0,5,3,4,0,6,0,1,4,0,6,3,4,6,0,5,5,0,6,6,3,3,5,1,1,1,4
"S461","prolific","Dimensions","2024-11-21 17:48:23",5.46431666666667,"chrome 131.0.0","false","Mac OS",1454,709,"Automatic","Male",21,"High school",NA,TRUE,"South Asian","United Kingdom",1,NA,0,1,2,0,2,0,3,0,1,0,2,1,1,0,0,0,2,0,1,4,1,0,3,2,1,1,5,3,1,1,2,3,6,4,0,0,1,0,4,0,4,0,1,0,2,4,1,0,1,1,4,0,0,0,4,2,1,2,1,0,3,6,1,3,0,0,1,1,3,0,1,3,2,1,2,1,3,0,3,1,2,1,3,0,1,1,2,2,1,6,0,4,0,1,0,4,3,2,0,3,1,0,1,2,2,0,6,0,2,2,0,2,1,2,1,4,1,1,0,1,2,3,1,2,2,3,2,1
"S478","prolific","Random","2024-11-21 23:09:03",13.8748333333333,"chrome 131.0.0","false","Windows 10",1904,1065,"Automatic","Male",28,"High school",NA,FALSE,"White","Australia",4,NA,0,6,6,4,2,0,4,5,5,5,5,4,3,1,3,3,4,1,2,5,1,5,3,5,1,6,4,3,3,4,1,4,6,4,3,1,1,3,2,3,3,2,4,6,2,4,5,3,3,2,4,5,5,0,3,2,2,1,5,5,4,6,4,3,1,5,0,2,6,0,5,6,4,6,1,6,1,0,2,5,4,6,2,5,5,5,2,3,2,6,4,5,1,1,4,6,0,6,4,3,5,2,6,4,2,3,6,3,4,4,4,2,4,3,4,5,4,3,2,2,3,6,5,4,2,3,3,5
"S256","prolific","Random","2024-11-19 19:59:23",14.0843,"chrome 131.0.0","false","Windows 10",1536,695,"Automatic","Male",30,"Bachelor","Literature, Languages",FALSE,"White","United Kingdom",2,NA,0,4,4,3,5,0,4,3,3,2,4,4,2,4,2,2,3,4,4,0,5,4,2,5,3,3,4,3,4,0,1,3,6,3,2,4,3,4,3,4,5,2,3,4,0,4,3,1,4,4,0,1,0,0,5,2,5,4,3,1,4,6,4,2,0,1,4,2,1,5,2,4,0,1,4,1,3,0,3,2,2,2,3,4,4,5,5,3,5,6,3,2,4,3,1,2,4,4,4,2,5,3,4,4,3,4,6,1,2,5,3,4,3,2,5,4,3,4,1,4,4,4,2,5,3,2,2,3
"S412","prolific","Random","2024-11-21 12:48:15",15.3637666666667,"chrome 130.0.0","false","Windows 10",1536,695,"Automatic","Other",20,"High school",NA,TRUE,"White","United States",3,NA,0,4,2,4,5,0,2,2,4,3,2,2,3,3,0,2,1,3,1,4,2,3,6,4,1,5,5,1,4,5,3,4,6,5,0,5,3,3,5,3,5,0,2,5,5,5,2,3,5,2,0,3,4,0,2,3,4,2,0,0,6,6,3,6,5,0,1,2,4,5,5,6,1,0,5,1,6,0,4,4,3,1,6,5,4,6,4,3,2,6,3,3,1,4,4,4,2,4,2,4,2,5,2,2,4,2,6,1,4,2,0,6,1,5,3,5,2,5,0,5,1,4,6,2,1,3,3,2
"S382","prolific","Dimensions","2024-11-21 09:37:46",20.5187833333333,"chrome 131.0.0","false","Mac OS",1440,778,"Automatic","Male",44,"Doctorate","Biology, Chemistry, Physics",NA,"White","United States",4,"Thank you",0,1,1,4,5,0,1,4,1,1,1,6,5,4,3,2,6,5,5,0,6,1,2,4,0,2,5,2,6,1,4,5,6,5,0,4,0,2,0,2,5,1,3,4,1,5,2,2,6,5,0,0,0,0,4,1,1,5,6,1,6,6,1,0,0,1,1,2,0,3,0,4,0,3,6,3,6,0,1,2,1,4,5,4,4,5,6,1,4,6,3,2,1,4,4,1,2,3,1,4,2,2,5,0,4,4,6,3,1,3,1,4,4,4,1,1,3,1,3,4,6,1,4,6,1,2,1,4
"S428","prolific","Domains","2024-11-21 15:27:37",15.9069166666667,"firefox 132.0.0","false","Windows 10",1920,927,"Automatic","Male",30,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,0,0,5,5,0,3,6,0,0,3,6,6,6,3,0,6,0,6,0,6,0,0,6,3,1,6,2,6,0,4,6,6,6,0,6,3,4,4,3,6,0,4,6,0,6,3,0,6,6,0,0,0,0,6,0,6,6,0,0,0,6,2,0,0,0,0,1,0,0,1,4,0,0,6,0,6,0,2,0,0,3,3,4,3,4,4,1,0,6,1,0,0,6,5,0,4,1,4,1,2,5,1,0,2,0,6,0,2,0,3,6,6,0,4,2,2,4,3,6,6,1,0,6,0,1,1,6
"S385","prolific","Domains","2024-11-21 11:19:19",18.0824166666667,"edge-chromium 130.0.0","false","Windows 10",1528,704,"Automatic","Female",45,"Bachelor","Business, Economics",FALSE,"Black","United States",4,NA,0,4,1,3,5,0,1,5,1,1,5,5,1,5,1,0,4,4,4,1,5,5,4,4,1,1,5,0,5,4,0,4,6,6,0,6,1,6,5,1,3,0,5,5,4,4,3,0,2,5,0,0,0,0,3,0,3,5,1,0,2,6,4,5,0,1,2,3,0,2,4,0,0,0,3,0,5,0,3,1,0,0,2,3,0,0,3,0,4,6,1,0,0,4,2,1,5,1,1,1,6,2,5,3,3,1,6,3,1,5,5,6,1,1,3,2,5,4,5,4,6,1,5,6,3,6,1,5
"S403","prolific","Random","2024-11-21 12:17:39",14.8417,"chrome 131.0.0","false","Windows 10",1536,738,"Automatic","Female",42,"Bachelor","Arts and Humanities",FALSE,"White","United Kingdom",3,NA,0,1,4,4,6,0,4,4,0,4,1,1,2,2,3,6,2,5,4,4,4,4,5,4,3,0,5,2,4,0,1,4,6,4,2,5,2,4,2,2,4,0,1,4,0,5,2,0,4,4,0,1,2,0,5,1,5,3,2,1,4,6,4,2,1,2,5,1,2,4,4,5,1,1,5,0,5,0,4,5,4,5,6,5,2,6,4,2,3,6,2,6,3,2,4,4,3,2,3,2,5,5,3,4,4,4,6,4,5,5,2,4,2,2,4,4,5,5,4,2,5,4,2,4,4,4,4,4
"S179","prolific","Domains","2024-11-19 15:06:53",13.6463666666667,"chrome 130.0.0","false","Windows 10",2560,1313,"Automatic","Female",46,"Bachelor","Engineering, Computer Science",FALSE,"White","United States",4,"these were interesting questions to ask myself, thanks!",0,0,1,3,6,0,6,5,0,1,4,4,4,5,1,0,6,1,4,0,6,0,4,6,2,0,5,0,3,2,3,5,6,5,0,6,0,0,2,0,6,0,0,6,0,6,2,0,6,5,0,4,4,0,3,2,6,6,4,2,3,6,0,2,4,1,1,1,3,6,1,5,0,0,5,2,6,0,2,5,0,0,4,5,3,6,3,4,5,6,5,2,0,5,4,2,2,5,3,4,4,3,6,4,3,4,6,3,0,4,3,5,0,2,3,5,2,4,2,2,4,4,4,6,3,6,4,4
