"Participant","Recruitment","Condition","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Reward","Gender","Age","Education","Discipline","Student","Ethnicity","Country","Experiment_Enjoyment","Experiment_Feedback","Accuracy_Respiratory_A","Accuracy_Gastric_Q8","Accuracy_ColonBladder_Q1","Accuracy_Respiratory_Q1","Accuracy_State_Q3","Accuracy_Genital_A","Accuracy_Cardiac_Q1","Accuracy_Gastric_Q2","Accuracy_ColonBladder_Q3","Accuracy_ColonBladder_Q5","Accuracy_Gastric_Q5","Accuracy_State_Q4","Accuracy_ColonBladder_Q2","Accuracy_Gastric_Q1","Accuracy_ColonBladder_Q4","Accuracy_Gastric_Q6","Accuracy_SkinThermo_Q2","Accuracy_SkinThermo_Q1","Accuracy_State_Q5","Accuracy_Cardiac_Q2","Accuracy_SkinThermo_Q3","Accuracy_Genital_Q2","Accuracy_Gastric_Q4","Accuracy_Genital_Q1","Accuracy_Gastric_Q7","Accuracy_Gastric_Q3","Accuracy_State_Q1","Accuracy_SkinThermo_Q4","Accuracy_State_Q2","Sexual_ColonBladder_Q2","Sexual_State_Q3","Sexual_State_Q5","Sexual_State_A","Sexual_State_Q4","Sexual_SkinThermo_Q3","Sexual_Genital_Q2","Sexual_Gastric_Q2","Sexual_Respiratory_Q1","Sexual_Cardiac_Q1","Sexual_SkinThermo_Q2","Sexual_State_Q1","Sexual_Gastric_Q1","Sexual_SkinThermo_Q1","Sexual_Genital_Q1","Sexual_ColonBladder_Q1","Sexual_State_Q2","Nociception_ColonBladder_Q1","Nociception_ColonBladder_Q2","Nociception_State_Q2","Nociception_SkinThermo_Q1","Nociception_Cardiac_Q1","Nociception_Respiratory_Q1","Nociception_Respiratory_Q2","Nociception_ColonBladder_A","Nociception_SkinThermo_Q2","Nociception_Gastric_Q1","Nociception_Genital_Q2","Nociception_Genital_Q1","Nociception_SkinThermo_Q3","Nociception_Cardiac_Q2","Nociception_State_Q1","Confusion_ColonBladder_A","Confusion_Gastric_Q1","Confusion_State_Q1","Confusion_Respiratory_Q1","Confusion_ColonBladder_Q1","Confusion_Gastric_Q2","Confusion_Genital_Q1","Confusion_Cardiac_Q1","Confusion_SkinThermo_Q1","Confusion_State_Q2","Anxious_Cardiac_Q1","Anxious_State_Q5","Anxious_Genital_Q1","Anxious_State_Q1","Anxious_ColonBladder_Q1","Anxious_State_Q4","Anxious_SkinThermo_A","Anxious_State_Q3","Anxious_SkinThermo_Q1","Anxious_SkinThermo_Q4","Anxious_SkinThermo_Q3","Anxious_State_Q2","Anxious_Respiratory_Q1","Anxious_Gastric_Q1","Anxious_SkinThermo_Q2","Sensitivity_State_Q1","Sensitivity_SkinThermo_Q6","Sensitivity_SkinThermo_Q1","Sensitivity_Gastric_A","Sensitivity_Respiratory_Q7","Sensitivity_Cardiac_Q6","Sensitivity_Respiratory_Q5","Sensitivity_State_Q3","Sensitivity_Respiratory_Q1","Sensitivity_Cardiac_Q4","Sensitivity_Cardiac_Q5","Sensitivity_Cardiac_Q7","Sensitivity_Genital_Q2","Sensitivity_Gastric_Q2","Sensitivity_ColonBladder_Q3","Sensitivity_Respiratory_Q6","Sensitivity_SkinThermo_Q3","Sensitivity_Cardiac_Q3","Sensitivity_Gastric_Q1","Sensitivity_Respiratory_Q3","Sensitivity_Cardiac_A","Sensitivity_Respiratory_Q4","Sensitivity_Gastric_Q4","Sensitivity_SkinThermo_Q7","Sensitivity_Gastric_Q5","Sensitivity_State_Q4","Sensitivity_Genital_Q3","Sensitivity_Gastric_Q3","Sensitivity_Genital_Q1","Sensitivity_Cardiac_Q1","Sensitivity_ColonBladder_Q1","Sensitivity_SkinThermo_Q8","Sensitivity_ColonBladder_Q4","Sensitivity_State_Q2","Sensitivity_SkinThermo_Q4","Sensitivity_Cardiac_Q2","Sensitivity_State_Q5","Sensitivity_SkinThermo_Q2","Sensitivity_SkinThermo_Q5","Sensitivity_Gastric_Q6","Sensitivity_Respiratory_Q2","Sensitivity_ColonBladder_Q2"
"S718","prolific","Domains",2024-12-01 13:09:06,12.62465,"edge-chromium 131.0.0","false","Windows 10",2552,1314,"Automatic","Male",44,"Elementary school",NA,NA,"White","United Kingdom",4,"All good",0,3,3,2,5,0,2,5,2,2,2,4,3,4,3,3,5,5,5,1,5,1,2,5,0,3,6,4,6,2,5,5,6,5,1,5,1,2,2,1,5,2,1,5,3,4,5,1,5,4,4,3,3,0,4,1,4,5,3,4,4,6,1,5,2,3,0,4,2,5,3,3,3,1,3,1,5,0,4,4,2,4,2,4,4,4,3,4,3,5,4,1,1,3,2,1,3,5,5,3,1,4,4,3,3,3,5,5,2,4,4,5,2,4,4,2,2,4,2,2,3,3,2,1,4,4,4,1
"S619","prolific","Dimensions",2024-11-29 16:31:08,9.62991666666667,"ios 17.6.0","true","iOS",980,1893,"Automatic","Female",27,"Master","Arts and Humanities",FALSE,"White","United Kingdom",4,NA,0,0,6,5,5,0,2,0,6,5,4,0,0,2,0,6,6,6,0,0,1,4,6,3,0,4,0,6,2,2,2,1,6,6,6,0,5,5,4,2,6,4,0,6,2,2,0,5,6,0,0,1,4,0,6,6,0,3,4,0,6,6,6,3,6,2,5,2,0,5,4,6,0,0,6,5,6,0,5,6,2,6,6,6,6,6,3,1,4,6,5,0,0,0,5,0,5,5,2,6,0,0,4,1,6,6,6,5,1,6,0,5,0,5,4,4,5,6,0,3,0,4,6,5,0,1,5,0
"S096","prolific","Dimensions",2024-11-19 11:19:06,12.5062833333333,"chrome 130.0.0","false","Windows 10",780,586,"Automatic","Male",31,"Bachelor","History, Archaeology",FALSE,"White","United Kingdom",2,NA,0,3,6,4,5,0,6,4,6,5,5,6,1,5,1,1,3,4,6,3,6,3,1,6,2,6,4,3,5,2,3,6,6,6,2,6,4,3,2,2,6,1,4,6,0,6,6,2,4,6,5,1,2,0,6,6,6,5,1,5,6,6,3,4,2,1,5,6,3,5,4,5,3,1,5,2,6,0,2,3,1,1,6,2,6,4,6,5,3,6,1,6,5,3,3,5,6,3,6,5,6,4,3,6,6,5,6,3,5,1,4,6,4,5,6,5,5,6,6,6,5,6,3,4,4,6,5,6
"S032","prolific","Domains",2024-11-19 05:41:22,21.7981333333333,"chrome 129.0.0","false","Windows 10",1366,607,"Automatic","Female",31,"Bachelor","Engineering, Computer Science",TRUE,"Black","United States",4,NA,0,3,3,6,6,0,6,6,3,6,3,6,0,6,0,6,6,6,6,6,6,0,0,6,1,3,6,6,6,0,0,0,6,6,0,0,0,6,6,6,6,0,6,6,6,3,0,0,6,6,0,0,0,0,6,0,6,6,6,0,2,6,6,6,0,0,0,0,0,6,6,6,3,0,6,0,6,0,0,6,0,0,6,6,0,6,6,0,6,6,6,6,0,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
"S009","prolific","Domains",2024-11-18 19:45:07,9.21168333333333,"chrome 130.0.0","false","Mac OS",1440,812,"Automatic","Female",40,"High school",NA,FALSE,"White","United Kingdom",NA,NA,0,0,4,5,5,0,4,4,0,4,0,4,1,4,0,2,4,4,4,0,4,0,4,5,0,0,4,0,5,0,0,4,6,2,0,4,0,5,4,4,4,0,4,5,0,5,0,0,5,4,0,0,0,0,4,0,4,5,4,0,5,6,4,0,0,0,0,0,0,0,0,5,0,0,4,0,4,0,2,0,0,0,4,6,0,4,5,2,4,6,4,4,2,3,4,1,1,4,1,2,3,4,4,4,4,4,6,4,0,4,0,5,0,1,1,4,0,5,0,4,4,4,4,5,0,0,4,0
"S235","prolific","Dimensions",2024-11-19 19:05:04,10.5871666666667,"chrome 129.0.0","false","Mac OS",1470,832,"Automatic","Female",31,"Master","Biology, Chemistry, Physics",FALSE,"Mixed","Australia",4,NA,0,4,5,2,6,0,0,3,0,4,4,4,0,6,6,2,1,0,6,0,4,2,1,6,1,4,4,0,5,0,1,5,6,6,3,6,3,4,5,4,4,0,5,6,1,5,4,0,3,1,1,1,1,0,3,5,5,6,3,0,5,6,5,3,1,0,1,5,0,3,2,1,5,0,1,1,6,0,1,1,0,0,4,1,0,1,6,2,1,6,1,1,3,2,0,1,5,2,3,4,2,2,2,1,5,1,6,1,1,4,6,5,4,3,2,0,1,6,2,4,1,0,2,3,2,4,0,2
"S712","prolific","Random",2024-12-01 12:48:32,16.0699666666667,"chrome 131.0.0","false","Windows 10",1920,945,"Automatic","Female",27,"High school",NA,FALSE,"Black","United Kingdom",3,NA,0,0,0,5,6,0,5,6,0,1,1,6,5,6,5,5,3,3,6,2,6,1,2,6,0,4,6,1,6,3,1,4,6,6,0,4,3,5,5,5,5,1,5,6,3,5,4,0,6,6,0,0,1,0,3,0,3,3,5,0,3,6,1,0,1,0,1,0,0,2,1,5,0,1,4,5,6,0,0,4,1,4,5,6,2,5,6,4,2,6,5,1,3,2,5,4,0,4,3,4,6,6,5,4,5,5,6,4,4,4,5,6,2,4,3,4,3,2,6,5,5,4,5,5,6,5,4,3
"S650","prolific","Domains",2024-11-30 12:21:12,14.5189,"chrome 131.0.0","false","Windows 10",1536,695,"Automatic","Female",46,"Bachelor","Biology, Chemistry, Physics",FALSE,"White","Ireland",3,NA,0,2,3,4,5,0,2,3,3,4,3,5,1,2,2,3,2,4,4,4,6,2,2,4,4,2,5,2,4,2,4,5,6,5,2,5,3,4,5,3,4,2,3,6,2,5,2,3,4,4,1,1,1,0,4,3,3,4,4,1,3,6,2,2,2,2,4,2,2,4,2,4,3,2,3,3,4,0,2,2,3,3,3,4,4,4,5,4,4,6,4,3,4,4,3,3,4,4,3,4,5,3,4,3,4,4,6,4,2,4,2,6,2,3,3,3,5,4,5,4,5,4,4,5,2,3,4,4
"S279","prolific","Random",2024-11-19 20:51:18,11.217,"edge-chromium 131.0.0","false","Windows 10",1528,738,"Automatic","Female",43,"Bachelor","Business, Economics",FALSE,"East Asian","United Kingdom",4,NA,0,6,3,1,2,0,1,1,0,5,1,2,0,1,2,4,0,2,2,1,4,0,6,3,0,1,1,6,2,0,2,5,6,6,1,6,1,4,4,1,3,0,5,5,0,2,4,0,3,4,1,0,1,0,6,3,4,6,1,0,2,6,4,3,0,0,3,1,3,6,3,3,3,0,2,4,6,0,3,3,1,5,2,6,4,6,4,4,4,6,1,3,1,4,1,1,5,3,2,1,5,3,3,2,2,1,6,1,3,4,6,6,2,1,5,1,4,6,4,6,5,1,3,4,0,2,1,4
"S548","prolific","Dimensions",2024-11-29 09:24:44,29.8968,"chrome 131.0.0","false","Windows 10",1920,945,"Automatic","Female",36,"Bachelor","Engineering, Computer Science",FALSE,"Black","United Kingdom",4,NA,0,4,2,6,4,0,3,4,1,4,2,4,2,4,1,4,5,4,5,2,4,2,3,6,1,3,2,1,2,2,2,6,6,6,0,3,4,4,3,3,4,4,4,6,2,6,5,2,6,0,0,1,0,0,6,1,3,4,5,0,6,6,3,2,1,2,3,3,3,4,2,5,0,0,5,2,6,0,4,5,5,4,3,4,3,6,3,4,3,6,3,2,5,2,4,2,1,3,4,3,4,3,5,3,3,1,2,3,2,0,2,6,4,2,6,3,4,5,4,4,5,3,4,4,3,3,3,5
"S465","prolific","Random",2024-11-21 17:49:40,3.92708333333333,"chrome 131.0.0","false","Windows 10",1920,911,"Return","Male",26,"Master","Engineering, Computer Science",FALSE,"Southeast Asian","Nepal",NA,NA,4,5,3,3,4,5,3,5,3,2,4,4,3,5,4,3,4,5,3,3,3,4,3,3,4,3,5,5,4,4,5,4,3,3,4,4,2,3,4,5,5,4,3,4,3,5,3,3,4,4,5,5,4,5,4,4,3,4,4,4,4,5,5,4,4,3,3,5,5,4,3,4,3,5,4,4,4,4,3,3,3,3,3,4,4,5,5,3,4,3,4,2,3,5,5,5,5,4,5,4,4,3,3,5,3,3,5,4,4,4,5,3,4,4,5,3,5,3,5,4,4,3,4,5,3,5,4,4
"S562","prolific","Dimensions",2024-11-29 10:04:56,11.72875,"edge-chromium 131.0.0","false","Windows 10",1358,650,"Automatic","Female",42,"Other",NA,NA,"White","Ireland",3,NA,0,2,5,1,5,0,2,4,2,2,5,5,3,4,3,1,3,2,5,3,4,1,2,5,5,2,6,4,4,0,6,6,6,6,0,6,0,4,2,1,6,0,1,6,0,6,3,0,6,3,2,4,4,0,1,1,3,6,2,2,5,6,1,1,1,0,1,0,4,4,2,3,0,0,5,5,5,0,4,1,1,1,5,1,1,3,4,2,4,6,1,0,2,3,1,1,5,2,1,1,1,5,1,3,2,4,6,1,2,5,5,4,0,1,1,2,3,1,2,3,6,3,2,2,1,1,3,2
"S227","prolific","Dimensions",2024-11-19 18:04:53,39.33635,"chrome 109.0.0","false","Windows 10",1366,657,"Automatic","Male",57,"High school",NA,FALSE,"East Asian","United Kingdom",4,"WELL DONE GUYS ONE OF THE BETTER STUDIES  IVE DONE INTERESTIN QUESTIONED KEEP THE GOOD WORK UP",0,0,4,0,1,0,2,1,1,1,1,4,1,2,2,3,4,4,5,0,5,3,2,2,0,4,4,3,4,1,1,5,5,6,5,6,6,4,5,2,6,1,1,5,1,5,4,4,6,4,0,0,1,0,4,0,4,5,5,1,5,6,1,3,1,1,2,5,0,4,6,4,4,5,5,2,6,0,4,5,2,4,5,4,2,5,1,2,4,5,1,0,2,1,0,0,4,2,4,2,6,0,4,0,4,1,4,0,3,4,1,6,0,0,2,0,3,4,1,1,5,3,1,4,2,1,1,4
"S031","prolific","Dimensions",2024-11-19 04:56:49,50.71695,"chrome 131.0.0","false","Windows 10",1280,632,"Automatic","Female",22,"Bachelor","Political Science, Law",TRUE,"Black","United States",4,"It was very helpful because it's like a self check-up ",0,4,5,4,6,0,3,5,3,3,5,5,3,5,5,1,5,5,6,4,6,4,2,5,3,3,6,3,6,5,4,4,4,4,3,5,4,4,5,5,6,3,4,3,4,5,3,2,6,2,2,1,1,0,3,1,4,5,4,1,5,6,5,5,3,4,4,4,5,5,4,6,3,2,3,3,3,0,3,3,3,1,3,5,3,3,4,5,5,0,4,6,3,4,4,2,5,5,4,4,4,5,5,3,4,5,6,5,4,2,4,5,4,2,5,2,4,5,3,3,1,2,4,4,4,3,4,5
"S515","prolific","Dimensions",2024-11-23 06:03:38,25.9142166666667,"chrome 127.0.0","false","Mac OS",735,716,"Automatic","Female",22,"Doctorate","Biology, Chemistry, Physics",NA,"Black","United States",4,NA,4,5,4,5,6,4,6,3,3,5,2,6,6,2,4,3,5,1,4,3,6,0,4,5,4,4,5,0,4,4,2,5,6,4,1,6,3,5,5,6,5,4,6,4,2,5,4,4,4,5,4,3,0,3,2,1,1,5,6,1,6,6,2,5,4,1,4,5,2,1,3,5,3,5,4,2,2,0,2,4,5,0,4,5,5,2,6,1,6,6,5,5,3,1,5,4,4,4,3,4,4,5,4,2,4,4,6,3,5,5,2,5,5,4,5,5,2,2,2,5,4,1,6,4,2,4,5,4
"S153","prolific","Domains",2024-11-19 13:45:37,24.6866,"edge-chromium 130.0.0","false","Windows 10",1528,746,"Automatic","Male",46,"Master","Mathematics, Physics",FALSE,"White","United Kingdom",3,"Thank you",0,0,0,5,5,0,5,5,0,0,0,5,4,6,3,0,5,5,5,1,6,0,1,6,1,1,5,1,4,0,1,6,6,6,2,6,5,5,5,3,6,2,1,6,0,6,0,0,6,0,0,0,0,0,3,0,0,5,5,0,6,6,0,1,0,0,0,0,0,0,1,4,0,0,5,0,6,0,1,1,1,3,5,4,4,2,6,2,5,6,5,2,2,4,4,4,2,5,4,4,6,2,5,5,5,4,6,5,3,5,3,6,2,2,5,5,4,6,6,6,6,5,5,5,4,5,5,4
"S137","prolific","Dimensions",2024-11-19 12:47:11,19.19565,"firefox 132.0.0","false","Windows 10",1920,1047,"Automatic","Male",34,"High school",NA,FALSE,"White","United Kingdom",4,NA,0,6,3,4,4,0,2,3,0,4,5,4,5,3,5,4,4,2,4,5,6,6,4,6,0,4,5,4,6,0,4,6,6,6,0,6,0,6,4,0,6,0,0,6,0,6,6,2,6,6,0,0,0,0,6,0,6,6,4,0,6,6,5,3,0,0,2,3,4,4,4,5,0,2,6,0,6,0,1,1,0,2,6,6,3,5,6,2,4,6,4,3,6,4,4,2,2,4,4,3,6,4,4,3,3,3,6,3,1,1,6,6,6,5,5,5,6,6,3,4,5,4,3,6,2,4,3,6
